"Response ID","Country","my full-time job:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","my hobby:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","volunteer in the community for free:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","learn something new:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","my school or university project:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","help get a job:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","meet new people:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","get paid:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","Other - Write In:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","Other - Write In:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","Other - Write In:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for... - Text Analysis:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","How often do you contribute to the selected software project?","To be a part of how software is built:When thinking about how you selected this open source project to contribute to, how important were the following?","Project goals align with my own:When thinking about how you selected this open source project to contribute to, how important were the following?","My friends and colleagues contribute to this project:When thinking about how you selected this open source project to contribute to, how important were the following?","Project seemed welcoming :When thinking about how you selected this open source project to contribute to, how important were the following?","Project seemed easy to join:When thinking about how you selected this open source project to contribute to, how important were the following?","Saw on social media:When thinking about how you selected this open source project to contribute to, how important were the following?","Ability to contribute:When thinking about how you selected this open source project to contribute to, how important were the following?","Adding a missing feature/fixing or reporting bugs/requesting better documentation:When thinking about how you selected this open source project to contribute to, how important were the following?","Code quality:When thinking about how you selected this open source project to contribute to, how important were the following?","Code quality :When thinking about how you selected this open source project to contribute to, how important were the following?","Create a product that will impact communities:When thinking about how you selected this open source project to contribute to, how important were the following?","Doing open source was part of paid full time  job:When thinking about how you selected this open source project to contribute to, how important were the following?","Help with my daily job :When thinking about how you selected this open source project to contribute to, how important were the following?","How it solves my problems:When thinking about how you selected this open source project to contribute to, how important were the following?","I felt it was necessary that this project was updated.:When thinking about how you selected this open source project to contribute to, how important were the following?","I like this technology:When thinking about how you selected this open source project to contribute to, how important were the following?","I needed a feature that nobody was willing to implement:When thinking about how you selected this open source project to contribute to, how important were the following?","I used it and it needed some updates to keep working:When thinking about how you selected this open source project to contribute to, how important were the following?","I'm designer of the RB3201 platform hardware.:When thinking about how you selected this open source project to contribute to, how important were the following?","Impact, improving science:When thinking about how you selected this open source project to contribute to, how important were the following?","Interested in the software or technology:When thinking about how you selected this open source project to contribute to, how important were the following?","It was in need of more structure:When thinking about how you selected this open source project to contribute to, how important were the following?","It was my Job:When thinking about how you selected this open source project to contribute to, how important were the following?","Needed to add features for my work:When thinking about how you selected this open source project to contribute to, how important were the following?","Project creator:When thinking about how you selected this open source project to contribute to, how important were the following?","Project is well organized and does not re-invent the wheel:When thinking about how you selected this open source project to contribute to, how important were the following?","Project supports social equity:When thinking about how you selected this open source project to contribute to, how important were the following?","Provide up-to-date code for others learning:When thinking about how you selected this open source project to contribute to, how important were the following?","Saw a need in the community that affected people I know:When thinking about how you selected this open source project to contribute to, how important were the following?","Social impact:When thinking about how you selected this open source project to contribute to, how important were the following?","Something else:When thinking about how you selected this open source project to contribute to, how important were the following?","The project be very active:When thinking about how you selected this open source project to contribute to, how important were the following?","The software we're building at work required me to contribute:When thinking about how you selected this open source project to contribute to, how important were the following?","To align our dev and design processes:When thinking about how you selected this open source project to contribute to, how important were the following?","Update frequency, testability, accuracy:When thinking about how you selected this open source project to contribute to, how important were the following?","Useful to learn:When thinking about how you selected this open source project to contribute to, how important were the following?","Well tests and documents:When thinking about how you selected this open source project to contribute to, how important were the following?","may solve my needs for free:When thinking about how you selected this open source project to contribute to, how important were the following?","Interacting with welcoming collaborators:When thinking about why you continued to contribute to the selected project, how important are the following?","Connecting with people from around the world:When thinking about why you continued to contribute to the selected project, how important are the following?","Maintaining low stress levels:When thinking about why you continued to contribute to the selected project, how important are the following?","Having exciting tasks:When thinking about why you continued to contribute to the selected project, how important are the following?","Having challenging tasks:When thinking about why you continued to contribute to the selected project, how important are the following?","Being paid for my work:When thinking about why you continued to contribute to the selected project, how important are the following?","123:When thinking about why you continued to contribute to the selected project, how important are the following?","Because it is solving my problems:When thinking about why you continued to contribute to the selected project, how important are the following?","I contributed only a single time:When thinking about why you continued to contribute to the selected project, how important are the following?","I did not contiune:When thinking about why you continued to contribute to the selected project, how important are the following?","Kept needing the tool:When thinking about why you continued to contribute to the selected project, how important are the following?","Madey job easier:When thinking about why you continued to contribute to the selected project, how important are the following?","Maintaining good code and tech practices:When thinking about why you continued to contribute to the selected project, how important are the following?","Needed a new feature:When thinking about why you continued to contribute to the selected project, how important are the following?","Realizing my own ideas:When thinking about why you continued to contribute to the selected project, how important are the following?","Technology Stack:When thinking about why you continued to contribute to the selected project, how important are the following?","The software can be part of my daily work:When thinking about why you continued to contribute to the selected project, how important are the following?","We need to improve the software we use for our customers:When thinking about why you continued to contribute to the selected project, how important are the following?","extend the project to close gap needed for my use case:When thinking about why you continued to contribute to the selected project, how important are the following?","Were there any barriers or reasons that kept you from contributing to this project or others? If so, please list them below.","Have you ever decided to leave or stop contributing to this project or others? If so, please describe your reasons for leaving below.  ","How important is it to you that your project has contributors from your geographic region? See the description of regions here.","How challenging is it for you to work with people who speak a language different from yours?  ","How helpful are translation tools (e.g., Google Translate and Bing Translate) when connecting with your project collaborators?  ","How important is it to you that your project has contributors with your same gender identity?  ","What do you think can encourage more women's participation in GitHub?","What is your gender identity?  ","Non-binary:What is your gender identity?  ","Which geographic region do you contribute from? See the description of regions here.  "
"7","Vietnam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","learn something new","","help get a job","meet new people","","","","","","Monthly","Very important","Important","","Very important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Very important","","Very important","Very important","Very important","","","","","","","","","","","","","","","","Very important","Very challenging","","","","Man","","a.	Northern Africa"
"9","Netherlands","","","","","","","","","Other - Write In","","We use it","","Monthly","Not at all important","Very important","Not at all important","Not at all important","Not at all important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","","","","","","","","","","","","Very important","","","","Not at all important","Not at all challenging","Neutral","Not at all important","Ask the women. I'm not stopping them.","Man","","n.	Western Europe"
"10","Spain","my full-time job","","volunteer in the community for free","","","","","","","","","","Weekly","Important","Important","Less important","Important","Important","Less important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Important","Neutral","Neutral","Important","Important","","","","","","","","","","","","","","","","Less important","Less challenging","Helpful","Not at all important","","Man","","m.	Southern Europe"
"11","India","","my hobby","","","","","","","","","","","Monthly","Important","Important","Neutral","Very important","Very important","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Important","Important","Very important","Important","Very important","","","","","","","","","","","","","","No free time","I will contribute in future","Neutral","Challenging","Very helpful","Neutral","Meetups and school workshops for girls students","Man","","i.	Southern Asia"
"12","Senegal","","","volunteer in the community for free","learn something new","","","","","Other - Write In","","improves tools I use","","Monthly","Neutral","Very important","Important","Important","Important","Less important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Neutral","Neutral","Important","Important","Neutral","","","","","","","","","","","","","","","","Neutral","Challenging","Helpful","Not at all important","","Man","","b.	Sub-Saharan Africa"
"13","Germany","my full-time job","","volunteer in the community for free","learn something new","","","","","","","","","Monthly","Important","Very important","Important","Important","Important","Less important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Important","Less important","Very important","Very important","Important","","","","","","","","","","","","","","Mainly the time I have to devote to other tasks. e.g. if I had more time, I would work on the project more.","I have abandoned some open source projects because they have been superseded by other projects or because better options for doing the same thing came along.","Neutral","Neutral","Neutral","Important","Accessible education. I think many women and girls don't realise they have the skills needed to contribute to programming & software projects. Teaching young women that they have the potential to do this is really important.","Woman","","n.	Western Europe"
"14","Nigeria","","my hobby","volunteer in the community for free","","","","","get paid","","","","","Monthly","Very important","Important","Not at all important","Very important","Important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Neutral","Important","Very important","Very important","Important","Neutral","","","","","","","","","","","","","","Being occupied with some other projects.","Nope","Less important","Neutral","Less helpful","Not at all important","Awareness will go a long way in encouraging women to participate. A lot of people would love to participate but wasn't sure where to start.","Man","","b.	Sub-Saharan Africa"
"15","United Kingdom","","my hobby","volunteer in the community for free","learn something new","","","","","","","","","Monthly","Neutral","Neutral","Not at all important","Important","Neutral","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Not at all important","Important","Neutral","Neutral","Not at all important","","","","","","","","","","","","","","","","Not at all important","Very challenging","Less helpful","Not at all important","","Man","","l.	Northern Europe"
"16","Taiwan","","my hobby","volunteer in the community for free","","","","","","","","","","Monthly","Important","Neutral","Not at all important","Neutral","Neutral","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Very important","Neutral","Important","Important","Less important","","","","","","","","","","","","","","no available time","","Less important","Very challenging","Helpful","Not at all important","","Man","","h.	South-eastern Asia"
"17","Malaysia","","","volunteer in the community for free","","","","","","","","","","Daily","Neutral","Very important","Neutral","Neutral","Neutral","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","Very important","","","","","","","","","Important","Very important","Very important","Neutral","Neutral","Not at all important","","","","","","","","","","Very important","","","","Priorities, I was busy at work and organising community. ","Nope, I maintain close contact to the folks, offering DevOps side help when needed. ","Important","Not at all challenging","Neutral","Not at all important","A women support circle is nice, I've seen effort and took part in some but I find women are more comfortable and more encouraged within the same gender group. ","Man","","h.	South-eastern Asia"
"18","Russian Federation","","my hobby","","","","","","","","","","","Monthly","Less important","Very important","Not at all important","Important","Neutral","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Less important","Less important","Less important","Less important","Less important","","","","","","","","","","","","","","","","Less important","","Less helpful","Less important","","Man","","k.	Eastern Europe"
"19","Estonia","my full-time job","my hobby","","learn something new","my school or university project","help get a job","meet new people","get paid","","","","","","Neutral","Neutral","Not at all important","Less important","Neutral","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Neutral","Not at all important","Important","Very important","Very important","","","","","","","","","","","","","","I finished my internship and was assigned to a different project on my subsequent job with the same supervisor","Yes, by the time my internship was over, I had completed most of the features required from me and left with a paycheck ","Important","Challenging","Helpful","Not at all important","Getting paid","Man","","Prefer not to disclose"
"20","India","","my hobby","","learn something new","","","","","","","","","Monthly","Neutral","Very important","Not at all important","Important","Important","Less important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Neutral","Neutral","Very important","Very important","Important","","","","","","","","","","","","","","1. Prioritising open source contribution with a full time day job and responsibilities at a startup 2. Low Documented code","","Less important","Challenging","Not at all helpful","Less important","1. connection, kindness and encouragement from real people 2. gamifying open source contribution, with small barriers to entry 3. Sometimes it feels like I am not going anywhere in life by contributing to open source. No benefits or difference felt in my day job.","Woman","","h.	South-eastern Asia"
